Time (seconds),CO2 conc (ppm),Ethylene conc (ppm),Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16
0,0.31101925695238714,9.735831326784092,3.9434174867061547,4.486532698071826,0.39229551687000147,-3.587091111376647,-4.88944109190017,-1.4277167446449257,2.5575603048756714,5.453035089100095,1.5817397092927832,-2.9339907292400254,-4.9568896942808935,-3.9870393382209555,2.3513380231306567,5.3861020905939485,3.1606538630006358,-2.342736093326368
1,0.9049383018496145,9.738685166092717,5.555917205496453,4.718541945102834,0.5948506487557536,-3.442635735291551,-5.3562268222167795,-1.9753665104311793,3.629005455342423,5.201212950994869,0.9938405494684328,-2.5092623294723837,-4.216953574668396,-3.3831358702908796,1.7627972185576084,5.385158775901225,3.424458908060173,-0.23962068053202867
2,0.5112055246342809,9.827800529121145,4.171658061024621,4.200454206700363,1.2315301315671179,-3.2793025078568214,-5.068120674243842,-1.3586195990953789,3.70847433445185,4.877353039052759,2.7014926829099606,-2.900507181287307,-4.82873498953467,-3.1041889406114906,2.995345616761318,4.791106117689308,2.24104714971608,-1.7802429465150316
3,0.6585803214106276,9.666671444898837,3.9127950070520505,4.751977669572187,2.1376888816816124,-4.162498199768055,-5.915806909521374,-1.2992813815159572,2.8128420172451407,4.847879875241167,1.4388188776882607,-3.4021207060970777,-4.88036506097079,-2.4337150763937263,2.549728804572066,6.056050494288259,3.163237350998415,-1.6536931493345317
4,0.354176394732703,10.133167899985908,4.046571229591036,3.9620802375569903,0.7143480142063199,-3.234568121125168,-4.0028690700742064,-1.70659200036306,3.3686978618340047,4.651291411955023,2.6012647297345004,-3.0692469438967467,-4.703705090790188,-3.0708448578574252,2.013374422977888,5.6410209059229235,2.999601037674428,-1.9033055032166566
5,-0.17629008815461084,9.289500052858628,3.8814556969761367,4.574399830345264,0.37033398410363927,-3.2965895810135115,-4.472670083247583,-1.4714638539396465,4.420850877164495,5.563199694774167,2.1657238507365975,-3.4675617232903075,-4.44447819902523,-2.623579780535596,1.9724729128634952,4.568737572948286,2.7202980921532665,-1.8447017164509842
6,0.4868348303062052,10.3403125884577,5.199110147823759,3.839451077820917,-0.34504964000416094,-3.2973309680297795,-4.740472218769624,-1.1759601489220302,4.0018454930519125,4.141701140782384,1.8213334357582873,-2.693061721139761,-5.8558348224396735,-2.719226942044908,2.5085111194501812,4.614886303623729,2.388690012912978,-1.8623379077109836
7,1.0595107504235113,9.890856818657445,3.8087599877945073,3.4226817038812363,-0.043285451219371385,-3.789525312700454,-5.023954655089719,-0.8860386860048605,3.4202290721732576,4.937320148453594,2.4577563897885497,-2.568494890308823,-5.248047461294603,-2.6443829638940897,3.0630475852300045,4.355806117074572,3.318446594165165,-1.7211327443757733
8,1.1520335956952048,10.091507847817683,3.72131408154477,4.767786037861428,1.2634741216250043,-4.277730624569051,-5.273381656097592,-0.23666375656305005,4.413405231783874,5.352526311073446,1.4905780812803344,-3.0271837906160854,-4.991601458474478,-2.3115856919533133,2.4788424541063407,4.849946661689582,2.48998229123628,-2.053510386024623
9,0.8103129975426806,10.664282391617961,4.717697562279425,4.245098195252923,0.48906963604567105,-4.31596815037519,-4.956135078118029,-0.7691623761234317,3.0923023178958684,4.21543479409432,1.6078766683263046,-2.9259894334470893,-5.002947158000741,-2.9002977095547346,2.314344472902536,5.239274006098384,3.129017318335692,-2.8258627902930105
